best_fitness,average_fitness
72,-11.29
155,-8.14
82,-10.36
335,-7.48
115,-6.27
439,5.42
191,-3.61
203,-4.0
158,5.64
261,5.8
215,-0.61
557,5.75
327,10.65
413,2.03
308,3.03
165,2.69
314,3.1
318,6.46
478,13.0
281,4.53
304,12.24
259,-3.25
386,2.66
156,-1.66
296,0.5
333,12.44
165,-4.82
243,-5.0
278,13.34
568,12.88
348,7.31
355,5.27
141,-2.82
126,1.21
645,4.2
210,1.82
403,7.26
303,14.49
98,-7.1
434,5.28
320,7.77
348,12.39
117,1.77
331,-0.96
230,9.3
212,-1.03
95,-7.77
223,5.01
549,3.98
114,-5.77
312,0.9
278,-2.33
203,4.75
321,2.3
226,4.64
228,4.79
299,11.47
179,0.7
493,5.86
175,-0.15
190,-0.33
177,-4.05
159,-3.15
601,5.93
224,-4.73
365,6.41
162,-5.14
385,9.27
345,17.17
135,16.28
118,3.17
222,0.27
489,8.15
167,2.39
263,4.02
268,4.66
235,5.68
336,14.97
2557,36.12
368,14.68
268,10.23
551,22.31
2689,32.82
2517,55.35
597,12.79
2628,46.17
521,-4.7
713,21.14
648,20.3
107,-12.23
436,3.75
2616,45.34
527,-0.23
2585,45.96
633,22.43
526,27.35
2747,22.87
417,5.6
2425,42.22
241,7.94
586,2.58
661,9.89
394,7.1
2316,31.23
491,16.91
701,25.03
2291,27.39
2697,67.59
545,28.91
417,17.47
269,19.36
187,10.94
456,30.4
276,13.24
2365,29.18
609,13.86
2928,60.76
606,41.87
2718,55.26
331,1.04
123,2.15
361,6.82
2652,48.43
3588,65.81
2890,83.59
188,2.21
180,-2.85
2675,34.58
448,29.06
245,9.51
375,9.07
204,12.51
354,20.77
594,25.53
707,16.85
765,34.38
2665,46.15
557,2.17
509,12.66
3600,90.8
384,0.68
2754,43.98
404,20.07
583,13.38
407,12.61
387,20.18
2567,50.85
333,15.56
3392,67.8
523,7.26
2718,43.91
2358,33.77
2814,46.79
751,35.71
609,10.18
2814,113.02
195,-1.03
2453,29.34
612,14.42
2439,52.34
2188,42.12
607,16.26
580,15.3
530,30.3
553,27.76
283,11.89
408,19.04
2717,52.3
3216,81.17
599,19.86
2238,41.76
2987,46.95
609,14.23
636,34.05
239,6.2
146,1.51
2561,35.35
2560,63.62
2368,63.68
237,-3.61
128,-7.02
425,-4.34
3831,73.83
342,4.11
3331,54.59
2446,52.0
2781,79.52
231,-1.42
581,11.6
385,28.69
768,17.64
238,4.24
2481,65.49
251,3.35
3270,42.71
635,17.0
204,6.63
404,12.52
2625,51.96
607,1.85
307,9.2
580,22.35
485,24.07
3103,84.26
439,4.06
601,17.14
2293,30.12
2534,52.29
600,18.56
379,4.33
2473,49.37
2574,26.93
617,37.45
639,18.39
2419,44.92
2510,60.85
686,19.98
2558,53.28
2148,36.05
2804,38.38
3045,63.73
481,29.8
2716,65.04
2321,32.91
2231,73.83
2340,49.86
401,7.81
2620,41.57
452,8.24
2704,46.37
2517,60.76
2810,45.05
2661,63.46
2803,56.37
2591,53.95
343,9.91
627,11.63
573,3.53
203,-7.8
299,9.01
621,14.03
2420,30.76
741,33.7
254,4.52
719,28.0
675,28.68
351,9.11
503,27.97
190,2.68
2847,84.88
525,28.1
2883,64.33
653,35.59
2786,49.94
195,7.05
2251,50.5
653,21.4
573,22.61
595,18.69
419,12.16
467,8.83
2279,49.47
2209,48.44
2593,55.26
611,11.75
2555,26.64
494,10.49
831,32.4
563,19.76
838,47.68
2953,73.31
588,-0.75
117,7.89
2369,41.01
617,9.52
463,6.45
2622,30.55
600,39.51
119,-5.69
569,16.17
2620,53.9
639,24.22
547,3.71
2536,33.86
626,14.38
373,15.25
2735,71.15
2432,37.61
2237,50.0
601,23.48
415,21.0
650,33.58
431,1.63
363,0.95
2784,43.55
2649,34.83
548,25.67
325,39.12
2682,55.41
653,42.23
625,26.14
2412,54.85
2844,34.36
2471,61.12
510,27.15
2501,90.33
2469,37.25
3253,80.97
2864,68.08
2869,84.75
2709,57.4
692,25.36
708,33.91
2969,91.97
2558,49.97
2802,61.78
563,19.02
461,5.01
2362,41.19
425,14.65
2904,61.76
2405,44.21
947,39.64
237,1.69
417,23.29
421,41.29
2599,36.38
637,2.3
2665,40.3
2120,45.84
405,10.36
633,31.68
2707,77.63
2703,36.63
494,28.75
2576,54.29
2615,56.48
559,9.85
2207,41.99
2699,66.77
2435,23.17
2817,56.86
2281,15.19
2473,37.22
2658,54.42
2761,26.22
3206,55.38
581,9.94
2345,43.46
551,28.2
754,13.6
2095,51.86
2558,51.35
611,39.75
2243,63.27
2413,33.34
731,11.58
2725,79.4
627,8.69
2229,45.06
287,-2.89
2620,45.97
646,12.95
2638,78.58
3121,69.3
715,17.11
774,25.81
685,26.37
2143,66.6
808,69.69
319,28.59
2694,74.25
2211,53.52
427,24.97
2380,49.59
592,31.5
825,35.99
